#p.58
あいぎやう	愛敬	①愛らしさ	
あいなし	愛無し	①つまらない	→あぢきなし・えうなし
あからさまなり		①ついちょっとだ	
あからめ	離る	①余所見・浮気	
あきらむ	明らむ	①明らかにする	
あかに		①満足しないので心残りなので	「えに」＝得ないので／「…がてに」＝…できないので／「しらに」＝知らないので
あく	飽く	①満足する	「あかず」＝心残りだ
あくがる	憧る	①さまよい出る ②思い焦がれる	
あさまし（げなり）	浅まし（げなり）	①驚き呆れた	「あさむ」＝驚き呆れる
あざやかなり	鮮やかなり	①（魚などが）新鮮である	
あし	悪し	①悪い ②身分が低い	→よし・よろし・わろし
あした	朝	①朝	→つとめて
あそばす	遊ばす	①「す」の《尊敬語》	
あそび	遊び	①管弦・詩歌・花見・月見の遊び	
あだ…	徒…	①不真面目で浮気な… ②無駄で一時的な…	「あだなり」＝不真面目で浮気だ・無駄で一時的だ／→いたづらなり・まめ…
あたらし	惜し	①惜しい	
あぢきなし	味気無し	①つまらない	→あいなし・えうなし
あつし	篤し	①病気が重い	
あてなり	貴なり	①身分が高くて上品だ	「あてびと」＝身分が高くて上品な人／→あやし（げなり）・いやし・しづ
あな［あや］		①ああ	「あなかま」＝ああやかましいよ／「あやにく」＝ああ嫌だよ／→かまびすし［かしがまし・かまし］・にくし
あない	案内	①事情・内情 ②取り次ぎ	
あながちなり	強ちなり	①無理矢理で強引だ	
あなた	彼方	①遠く離れた時間・以前・将来 ②遠く離れた空間・向こう	
あなづる	侮る	①見下げる	「あなづらはし」＝見下げたい気分だ
あはれなり		①しみじみと同情した	「あはれがる」＝しみじみと同情する
あひぐす	相具す	①連れていく ②結婚して同居する	
あふ	逢ふ・会ふ・合ふ	①深い仲になる・結婚する ②深い仲にさせる・結婚させる	
…あへず	…敢へず	①…できない	→え…ず・…かたし・…かぬ
あへなし	敢へ無し	①張り合いがなくあっけない	
あまた	数多	①たくさん	→ここら［そこら］・そこばく
あやし（げなり）	怪し（げなり）／賤し（げなり）・卑し（げなり）	①理解できない ②身分が低くて下品だ	「あやしがる」＝不思議に思う／→あてなり・いやし・しづ
#p.59
あやなし		①訳が分からない	
あやめ	文目	①模様 ②物の違い・区別・道理	
あらがふ	争ふ	①否定して抵抗する	
あらたし	新し	①新しい	
あらはなり	顕なり	①むき出しではっきりとしている	→みそかなり
あらまし［あらましごと］	あらまし（事）	①予定・計画	
あらまほし		①理想的だ	
ありあけ	有り明け	①夜明け頃まで残っている月	
ありありて	有り有りて	①生き長らえて	
ありがたし	有り難し	①めったにない（程に素晴らしい）	
ありく	歩く	①歩き回る・動き回る	
ありし［ありける・ありつる］		①以前の	
あるじ	主	①主人 ②もてなし・ごちそう	②は【饗・設け】
あるやうこそはあらめ		①何かわけがあるのだろう	
あんず	案ず	①思案する ②心配する	
いうなり	優なり	①優美だ ②優しく優れている	→やさし
いかで（か）	如何で（か）	①どうして… ②どのように…《疑問・反語》 ③どうにかして…《仮定・命令・願望・意志・適当》	
いかに（か）	如何に（か）	①どうして… ②どのように…《疑問・反語》	
いかが	如何が		「いかがはせむ」＝どうしようか・どうしようもない
いかめし	厳めし	①重々しく格別だ	
いぎたなし	寝汚し	①寝坊である	
いくばく	幾何	①どれほど…《疑問・反語》	
いさ		①さあ…《疑問・ためらい》	「いさ知らず」＝さあどうだかわからない／→いざ
いざ		①さあ…《仮定・命令・願望・意志・適当》	「いざさらば」＝さあそれでは／「いざたまへ」＝さあいらっしゃい／「いざなふ」＝誘う／→いさ
いそぎ	急ぎ	①用意	「いそぐ」＝用意する
いたし	甚し	①甚だしい ②ほとんど【あまり】…《打消》	→いと・をさをさ…
いたつき［いたづき］	労・病	①苦労・病気	
いたづらなり	徒らなり	①死ぬ ②無駄で一時的だ	「徒らに成る」＝死ぬ／→つゆときゆ・はかなくなる・みまかる・むなしくなる／→あだ…
いたはし	労し	①苦しい程に（相手が）気の毒で可哀想だ	→こころぐるし
いつく	慈く・傅く	①大切にする	「いつくしむ」＝大切にする／→かしづく
いづく（にか）［いづこ・いづち・いづら］	何処（にか）・何方・何ら	①どこ…《疑問・反語》	
いつしか	何時しか	①早く… ②いつか…《仮定・命令・願望・意志・適当》	
#p.60
いと		①とても ②ほとんど【あまり】…《打消》	→いたし・をさをさ…
いとど		①いっそうますます	→いよいよ
いとほし		①不都合で嫌だ ②気の毒で可哀想だ	→ふびんなり・びんなり
いとま	暇	①暇 ②暇乞い・離別・死別	
いぬ	去ぬ・往ぬ	①空間的に移り去る ②時間的に過ぎ去る	
いぬ	寝ぬ	①寝る	→いをぬ
いなむ［いなぶ］	否む・辞む［否ぶ・辞ぶ］	①辞退する・拒否する	
いはけなし［いとけなし］	稚けなし	①幼い	
いぶかし	訝し	①はっきりしなくて気になる	
いふかたなし［いはむかたなし］	言ふ方無し［言はむ方無し］	①言いようがない	
いふかひなし	言ふ甲斐無し	①言いようがない ②言いようがなく素晴らしい ③言いようがなくひどい	→えもいはず
いぶせし		①気が晴れない	
いふもおろかなり	言ふも疎かなり	①いくら言っても言い尽くせない	→おろかなり
いまいまし	忌ま忌まし	①縁起が悪い	
います［いますかり・いますがらふ］	在す［在すかり・在すがらふ］	①「有り・居り・行く・来」の《尊敬語》	→おはす［おはさふ・おはさうず］・おはします［おはしまさふ］・ます［まします］
いまめかし	今めかし	①目新しく現代風だ	「いまめく」＝目新しく現代風になる
いみじ	忌忌じ	①とても ②とても素晴らしい ③とてもひどい	→ゆゆし
いも	妹	①姉妹 ②妻・愛するあなた（女性）	→せ
いやし	賤し・卑し	①身分が低くて下品だ	→あやし（げなり）・あてなり・しづ
いよいよ	愈愈	①いっそうますます	→いとど
いらへ	答へ・応へ	①返事	「いらふ」＝返事する
いろ	色	①風流 ②恋愛	→すき・なさけ
いをぬ［いもぬ・ぬ］	寝を寝［寝も寝・寝］	①寝る	→いぬ
うけたまはる	承る	①「聞く」の《謙譲語》	
うし	憂し	①憂鬱で辛い	→からし【辛し】
うしろめたし	後ろ目痛し・後ろ見たし	①頼りなく不安だ	→うしろやすし
うしろやすし	後ろ安し	①頼もしく安心だ	→うしろめたし・こころやすし
うす	失す	①消える・死ぬ	
うたかた	泡沫	①はかなく消えやすい水の泡	
うたて（し）	転て（し）	①嫌だ	→にくし
うち	内・内裏	①天皇 ②宮中	
うちつけなり	打ち付けなり	①突然だ ②軽率だ	
#p.61
うつくし	愛し	①（客観的に）かわいらしい	→らうたし
うつつ	現	①現実	
うつろふ	移ろふ	①色が褪せる ②心が離れる	
うとし	疎し	①疎遠で素っ気ない	
うへ	上	①天皇 ②北の方・奥方・正妻	
うみす［うんず・うず］	倦みす［倦んず・倦ず］	①うんざりする	
うらなし	心無し	①心の隔てなくざっくばらんだ	
うるさし	煩し	①面倒で嫌だ ②巧みで賢い	→むつかし・うるせし
うるせし		①巧みで賢い	→うるさし
うるはし	麗し	①整って美しい	
えうなし	要無し	①つまらない	→あいなし・あぢきなし
え…ず	得…ず	①…できない	→あへず・えもいはず・…かたし・…かぬ
えもいはず	えも言はず	①言いようもない ②言いようもなく素晴らしい ③言いようもなくひどい	→いふかたなし［いはむかたなし］
えんなり	艶なり	①優雅だ・優美だ・上品だ ②妖艶で色っぽい	→なまめかし
おいらかなり		①おっとり落ち着いた	
おきつ	掟つ	①決定する ②命令する	
おくる	後る	①後になる・劣る ②後に残される・死に後れる	「おくらす」＝後に残す・先に死ぬ
おこす	遣す	①（物を）送ってくる ②（人を）よこす	「…おこす」＝遠くから近くに…する／→やる
おこたる	怠る	①病気が良くなる ②怠る	→なやむ・わづらふ
おこなふ	行ふ	①仏前勤行する ②仏道修行する	「おこなひ」＝仏前勤行・仏道修行／→ぎやうず
おづ	怖づ	①恐れておどおどする	
おと	音	①音・擦れ・訪れ ②噂・評判	「おとなふ」＝音を立てる・訪れる／→おぼえ・きこえ・な
おとど［おほいどの］	大臣・大殿	①大臣	
おとと	弟・妹	①弟・妹	
おとなし	大人し	①大人っぽい ②思慮分別がありしっかりしている	→をさをさし
おどろく	驚く	①目が覚める ②はっと気が付く	
おどろおどろし		①仰々しくてものすごい ②非常に不気味で恐ろしい	
おのがじし	己がじし	①めいめい思い思いに	
おのづから	自ら	①自然と ②たまたま・偶然 ③万一…《仮定》	→たまさかなり
